episode,cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,reward,new_cart_position,new_cart_velocity,new_pole_angle,new_pole_angular_velocity,q_values
480,0.030827692,0.024575634,-0.049383406,-0.046907287,1,1.0,0.031319205,0.22036965,-0.050321553,-0.35475308,"[18.626328, 18.775143]"
480,0.031319205,0.22036965,-0.050321553,-0.35475308,0,1.0,0.035726596,0.025997974,-0.057416614,-0.078352936,"[19.04611, 18.394363]"
480,0.035726596,0.025997974,-0.057416614,-0.078352936,0,1.0,0.036246557,-0.16825588,-0.058983672,0.19567648,"[18.84556, 18.796278]"
480,0.036246557,-0.16825588,-0.058983672,0.19567648,1,1.0,0.03288144,0.027658,-0.055070143,-0.11501444,"[18.748009, 18.86429]"
480,0.03288144,0.027658,-0.055070143,-0.11501444,0,1.0,0.0334346,-0.1666334,-0.05737043,0.1597984,"[18.841087, 18.731071]"
480,0.0334346,-0.1666334,-0.05737043,0.1597984,1,1.0,0.03010193,0.029260969,-0.054174464,-0.15041737,"[18.798975, 18.833374]"
480,0.03010193,0.029260969,-0.054174464,-0.15041737,0,1.0,0.03068715,-0.16504507,-0.05718281,0.12469459,"[18.845135, 18.697945]"
480,0.03068715,-0.16504507,-0.05718281,0.12469459,0,1.0,0.027386248,-0.35930318,-0.05468892,0.39880288,"[18.78116, 18.745228]"
480,0.027386248,-0.35930318,-0.05468892,0.39880288,1,1.0,0.020200185,-0.16344975,-0.04671286,0.08939146,"[18.848766, 18.87828]"
480,0.020200185,-0.16344975,-0.04671286,0.08939146,1,1.0,0.01693119,0.032309555,-0.04492503,-0.21765578,"[18.5369, 18.562899]"
480,0.01693119,0.032309555,-0.04492503,-0.21765578,0,1.0,0.017577382,-0.16214235,-0.049278148,0.060524274,"[18.835373, 18.632881]"
480,0.017577382,-0.16214235,-0.049278148,0.060524274,0,1.0,0.014334534,-0.35652438,-0.048067663,0.33726147,"[18.504848, 18.397774]"
480,0.014334534,-0.35652438,-0.048067663,0.33726147,1,1.0,0.0072040465,-0.16075255,-0.041322432,0.029816434,"[18.75681, 18.77796]"
480,0.0072040465,-0.16075255,-0.041322432,0.029816434,0,1.0,0.0039889957,-0.3552583,-0.040726103,0.30918065,"[18.413265, 18.228018]"
480,0.0039889957,-0.3552583,-0.040726103,0.30918065,1,1.0,-0.0031161704,-0.15958044,-0.03454249,0.0039371094,"[18.661802, 18.712076]"
480,-0.0031161704,-0.15958044,-0.03454249,0.0039371094,0,1.0,-0.0063077793,-0.3541904,-0.03446375,0.28552446,"[18.45516, 18.210169]"
480,-0.0063077793,-0.3541904,-0.03446375,0.28552446,1,1.0,-0.013391588,-0.15859433,-0.02875326,-0.017825788,"[18.575508, 18.652819]"
480,-0.013391588,-0.15859433,-0.02875326,-0.017825788,0,1.0,-0.016563475,-0.35329238,-0.029109776,0.26564828,"[18.467625, 18.259289]"
480,-0.016563475,-0.35329238,-0.029109776,0.26564828,1,1.0,-0.023629323,-0.15776731,-0.02379681,-0.03607214,"[18.485046, 18.586617]"
480,-0.023629323,-0.15776731,-0.02379681,-0.03607214,0,1.0,-0.026784668,-0.35254008,-0.024518253,0.24900869,"[18.476074, 18.309956]"
480,-0.026784668,-0.35254008,-0.024518253,0.24900869,1,1.0,-0.03383547,-0.15707672,-0.019538078,-0.05130588,"[18.436287, 18.543106]"
480,-0.03383547,-0.15707672,-0.019538078,-0.05130588,0,1.0,-0.036977004,-0.35191312,-0.020564197,0.23514915,"[18.481232, 18.358356]"
480,-0.036977004,-0.35191312,-0.020564197,0.23514915,1,1.0,-0.044015266,-0.1565035,-0.015861213,-0.06394877,"[18.427092, 18.54655]"
480,-0.044015266,-0.1565035,-0.015861213,-0.06394877,0,1.0,-0.047145337,-0.3513945,-0.01714019,0.22368795,"[18.480558, 18.41157]"
480,-0.047145337,-0.3513945,-0.01714019,0.22368795,1,1.0,-0.054173227,-0.15603182,-0.01266643,-0.074352,"[18.415634, 18.550522]"
