episode,cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,counterfactual,reward,new_cart_position,new_cart_velocity,new_pole_angle,new_pole_angular_velocity,q_values
1,-0.044632718,-0.023089824,-0.04286417,0.047357902,0,0.0,1.0,-0.045094512,-0.21757175,-0.04191701,0.32621464,"[18.447783, 18.692991]"
1,-0.045094512,-0.21757175,-0.04191701,0.32621464,1,,1.0,-0.04944595,-0.021878853,-0.035392717,0.020613132,"[18.238913, 18.677399]"
1,-0.04944595,-0.021878853,-0.035392717,0.020613132,1,,1.0,-0.049883526,0.17373233,-0.034980454,-0.28302315,"[18.359476, 18.707848]"
1,-0.049883526,0.17373233,-0.034980454,-0.28302315,0,,1.0,-0.04640888,-0.020873684,-0.04064092,-0.0015748865,"[18.955421, 18.8593]"
1,-0.04640888,-0.020873684,-0.04064092,-0.0015748865,1,,1.0,-0.046826355,0.17480683,-0.040672418,-0.30679846,"[18.38903, 18.74841]"
1,-0.046826355,0.17480683,-0.040672418,-0.30679846,0,,1.0,-0.043330215,-0.019712655,-0.046808384,-0.027214902,"[19.057705, 18.802418]"
1,-0.043330215,-0.019712655,-0.046808384,-0.027214902,1,,1.0,-0.04372447,0.17604822,-0.047352683,-0.33429122,"[18.470165, 18.776665]"
1,-0.04372447,0.17604822,-0.047352683,-0.33429122,0,,1.0,-0.040203504,-0.018368924,-0.054038506,-0.056908887,"[19.13454, 18.675808]"
1,-0.040203504,-0.018368924,-0.054038506,-0.056908887,1,,1.0,-0.040570885,0.17748453,-0.055176686,-0.36613983,"[18.61518, 18.763441]"
1,-0.040570885,0.17748453,-0.055176686,-0.36613983,0,,1.0,-0.037021194,-0.016811684,-0.062499482,-0.09135275,"[19.16495, 18.431784]"
1,-0.037021194,-0.016811684,-0.062499482,-0.09135275,0,,1.0,-0.037357427,-0.21098472,-0.06432654,0.18097524,"[18.715267, 18.669327]"
1,-0.037357427,-0.21098472,-0.06432654,0.18097524,0,,1.0,-0.04157712,-0.40513003,-0.060707033,0.45269194,"[18.739204, 18.630558]"
1,-0.04157712,-0.40513003,-0.060707033,0.45269194,1,,1.0,-0.049679723,-0.20920448,-0.051653195,0.14150809,"[18.77051, 18.816452]"
1,-0.049679723,-0.20920448,-0.051653195,0.14150809,0,,1.0,-0.053863812,-0.40355006,-0.048823033,0.4174584,"[18.727697, 18.546335]"
1,-0.053863812,-0.40355006,-0.048823033,0.4174584,1,,1.0,-0.061934814,-0.20777145,-0.040473863,0.10979212,"[18.650528, 18.783613]"
1,-0.061934814,-0.20777145,-0.040473863,0.10979212,0,,1.0,-0.06609024,-0.40229076,-0.03827802,0.38943604,"[18.68941, 18.504555]"
1,-0.06609024,-0.40229076,-0.03827802,0.38943604,1,,1.0,-0.074136056,-0.20664701,-0.030489301,0.0849344,"[18.539425, 18.751038]"
1,-0.074136056,-0.20664701,-0.030489301,0.0849344,0,,1.0,-0.078269,-0.40131894,-0.028790614,0.36784413,"[18.621954, 18.453379]"
1,-0.078269,-0.40131894,-0.028790614,0.36784413,1,,1.0,-0.086295374,-0.20579998,-0.02143373,0.06622395,"[18.46783, 18.735111]"
1,-0.086295374,-0.20579998,-0.02143373,0.06622395,0,,1.0,-0.09041137,-0.40060818,-0.020109251,0.3520681,"[18.560844, 18.483057]"
1,-0.09041137,-0.40060818,-0.020109251,0.3520681,1,,1.0,-0.09842354,-0.20520613,-0.01306789,0.053112544,"[18.39256, 18.716743]"
1,-0.09842354,-0.20520613,-0.01306789,0.053112544,1,,1.0,-0.10252766,-0.009899253,-0.012005638,-0.24366459,"[18.505747, 18.531586]"
1,-0.10252766,-0.009899253,-0.012005638,-0.24366459,0,,1.0,-0.10272565,-0.20484768,-0.01687893,0.045207407,"[18.754215, 18.693647]"
1,-0.10272565,-0.20484768,-0.01687893,0.045207407,0,,1.0,-0.1068226,-0.3997236,-0.015974782,0.33251745,"[18.522541, 18.496355]"
1,-0.1068226,-0.3997236,-0.015974782,0.33251745,1,,1.0,-0.114817075,-0.20437793,-0.009324433,0.034839984,"[18.37024, 18.695923]"
1,-0.114817075,-0.20437793,-0.009324433,0.034839984,1,,1.0,-0.11890463,-0.009123523,-0.008627634,-0.26077026,"[18.455715, 18.54022]"
1,-0.11890463,-0.009123523,-0.008627634,-0.26077026,0,,1.0,-0.1190871,-0.20412126,-0.013843039,0.029178971,"[18.767975, 18.66287]"
1,-0.1190871,-0.20412126,-0.013843039,0.029178971,1,,1.0,-0.12316953,-0.008803552,-0.013259459,-0.26783925,"[18.47744, 18.497948]"
1,-0.12316953,-0.008803552,-0.013259459,-0.26783925,0,,1.0,-0.1233456,-0.20373379,-0.018616244,0.02063224,"[18.778658, 18.609133]"
1,-0.1233456,-0.20373379,-0.018616244,0.02063224,0,,1.0,-0.12742028,-0.3985839,-0.0182036,0.3073839,"[18.491217, 18.447214]"
1,-0.12742028,-0.3985839,-0.0182036,0.3073839,1,,1.0,-0.13539195,-0.20320734,-0.012055921,0.009016057,"[18.387402, 18.642548]"
1,-0.13539195,-0.20320734,-0.012055921,0.009016057,1,,1.0,-0.1394561,-0.00791458,-0.011875601,-0.28744614,"[18.43658, 18.501]"
1,-0.1394561,-0.00791458,-0.011875601,-0.28744614,0,,1.0,-0.13961439,-0.20286518,-0.017624523,0.0014677895,"[18.779442, 18.543306]"
1,-0.13961439,-0.20286518,-0.017624523,0.0014677895,0,,1.0,-0.14367169,-0.39773,-0.017595168,0.28853828,"[18.461908, 18.451302]"
1,-0.14367169,-0.39773,-0.017595168,0.28853828,1,,1.0,-0.15162629,-0.20236161,-0.011824402,-0.009641657,"[18.3545, 18.616362]"
1,-0.15162629,-0.20236161,-0.011824402,-0.009641657,1,,1.0,-0.15567352,-0.0070720925,-0.012017235,-0.30603173,"[18.459524, 18.513477]"
1,-0.15567352,-0.0070720925,-0.012017235,-0.30603173,0,,1.0,-0.15581496,-0.20202075,-0.01813787,-0.01716285,"[18.775496, 18.473055]"
1,-0.15581496,-0.20202075,-0.01813787,-0.01716285,0,,1.0,-0.15985538,-0.39687794,-0.018481128,0.26974264,"[18.474525, 18.457458]"
1,-0.15985538,-0.39687794,-0.018481128,0.26974264,1,,1.0,-0.16779295,-0.20149721,-0.013086274,-0.028711578,"[18.337597, 18.586716]"
1,-0.16779295,-0.20149721,-0.013086274,-0.028711578,1,,1.0,-0.17182289,-0.006190062,-0.013660506,-0.32549447,"[18.473217, 18.507479]"
1,-0.17182289,-0.006190062,-0.013660506,-0.32549447,0,,1.0,-0.17194669,-0.20111488,-0.020170396,-0.037150595,"[18.752247, 18.369518]"
1,-0.17194669,-0.20111488,-0.020170396,-0.037150595,0,,1.0,-0.17596899,-0.39594185,-0.020913407,0.24910074,"[18.482355, 18.431398]"
1,-0.17596899,-0.39594185,-0.020913407,0.24910074,1,,1.0,-0.18388782,-0.2005276,-0.015931392,-0.050104663,"[18.368496, 18.53802]"
1,-0.18388782,-0.2005276,-0.015931392,-0.050104663,0,,1.0,-0.18789837,-0.3954175,-0.016933486,0.2375095,"[18.48139, 18.458584]"
1,-0.18789837,-0.3954175,-0.016933486,0.2375095,1,,1.0,-0.19580673,-0.20005779,-0.012183296,-0.06046628,"[18.34224, 18.516258]"
1,-0.19580673,-0.20005779,-0.012183296,-0.06046628,0,,1.0,-0.19980788,-0.39500296,-0.013392622,0.22834797,"[18.487185, 18.481375]"
1,-0.19980788,-0.39500296,-0.013392622,0.22834797,1,,1.0,-0.20770794,-0.1996922,-0.008825662,-0.068529196,"[18.323624, 18.475382]"
1,-0.20770794,-0.1996922,-0.008825662,-0.068529196,1,,1.0,-0.21170178,-0.0044448427,-0.010196246,-0.36398354,"[18.495972, 18.499704]"
1,-0.21170178,-0.0044448427,-0.010196246,-0.36398354,0,,1.0,-0.21179068,-0.1994204,-0.017475916,-0.074533045,"[18.706226, 18.212112]"
1,-0.21179068,-0.1994204,-0.017475916,-0.074533045,0,,1.0,-0.21577908,-0.39428753,-0.018966578,0.21258533,"[18.50949, 18.428816]"
1,-0.21577908,-0.39428753,-0.018966578,0.21258533,1,,1.0,-0.22366484,-0.19889961,-0.0147148715,-0.08601967,"[18.384256, 18.427217]"
1,-0.22366484,-0.19889961,-0.0147148715,-0.08601967,0,,1.0,-0.22764283,-0.39380756,-0.016435264,0.20198461,"[18.496948, 18.45607]"
1,-0.22764283,-0.39380756,-0.016435264,0.20198461,1,,1.0,-0.23551898,-0.19845447,-0.012395572,-0.09583721,"[18.374731, 18.394035]"
1,-0.23551898,-0.19845447,-0.012395572,-0.09583721,0,,1.0,-0.23948807,-0.3933966,-0.014312317,0.1929093,"[18.487696, 18.470917]"
1,-0.23948807,-0.3933966,-0.014312317,0.1929093,0,,1.0,-0.247356,-0.5883109,-0.01045413,0.48104316,"[18.362213, 18.354652]"
1,-0.247356,-0.5883109,-0.01045413,0.48104316,1,,1.0,-0.25912222,-0.39304295,-0.0008332674,0.18508378,"[18.077679, 18.33035]"
1,-0.25912222,-0.39304295,-0.0008332674,0.18508378,0,,1.0,-0.2669831,-0.588153,0.0028684083,0.47750372,"[18.266695, 18.262302]"
1,-0.2669831,-0.588153,0.0028684083,0.47750372,1,,1.0,-0.27874613,-0.39307165,0.012418482,0.18572624,"[18.013823, 18.271713]"
1,-0.27874613,-0.39307165,0.012418482,0.18572624,0,,1.0,-0.28660756,-0.5883691,0.016133007,0.4823007,"[18.225763, 18.215961]"
1,-0.28660756,-0.5883691,0.016133007,0.4823007,1,,1.0,-0.29837495,-0.39347848,0.025779022,0.1947458,"[17.991726, 18.264982]"
1,-0.29837495,-0.39347848,0.025779022,0.1947458,1,,1.0,-0.30624452,-0.1987346,0.029673938,-0.0896948,"[18.254114, 18.26745]"
