episode,cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,reward,new_cart_position,new_cart_velocity,new_pole_angle,new_pole_angular_velocity,q_values
0,-0.029321458,-0.013127909,-0.031011008,0.004817371,0,1.0,-0.029584017,-0.20779172,-0.03091466,0.28755692,"[9.239676, 9.115178]"
0,-0.029584017,-0.20779172,-0.03091466,0.28755692,0,1.0,-0.03373985,-0.40245947,-0.025163522,0.5703316,"[9.458932, 9.290105]"
0,-0.03373985,-0.40245947,-0.025163522,0.5703316,0,1.0,-0.04178904,-0.59721965,-0.013756891,0.854982,"[9.663304, 9.446408]"
0,-0.04178904,-0.59721965,-0.013756891,0.854982,0,1.0,-0.053733435,-0.79215145,0.00334275,1.1433077,"[9.97807, 9.729362]"
0,-0.053733435,-0.79215145,0.00334275,1.1433077,1,1.0,-0.069576465,-0.5970733,0.026208904,0.8516749,"[10.060754, 10.07632]"
0,-0.069576465,-0.5970733,0.026208904,0.8516749,0,1.0,-0.08151793,-0.79254264,0.043242402,1.1524826,"[10.283318, 10.200348]"
0,-0.08151793,-0.79254264,0.043242402,1.1524826,1,1.0,-0.097368784,-0.59801066,0.066292055,0.87366676,"[10.006101, 10.559117]"
0,-0.097368784,-0.59801066,0.066292055,0.87366676,1,1.0,-0.10932899,-0.40384963,0.08376539,0.6025406,"[10.37227, 10.834184]"
0,-0.10932899,-0.40384963,0.08376539,0.6025406,1,1.0,-0.11740599,-0.20999305,0.0958162,0.33737352,"[10.681605, 11.058911]"
0,-0.11740599,-0.20999305,0.0958162,0.33737352,1,1.0,-0.12160585,-0.01635591,0.10256367,0.07637696,"[11.057901, 11.146188]"
0,-0.12160585,-0.01635591,0.10256367,0.07637696,0,1.0,-0.12193297,-0.21278723,0.10409121,0.39957646,"[11.099622, 11.039319]"
0,-0.12193297,-0.21278723,0.10409121,0.39957646,1,1.0,-0.12618871,-0.019284014,0.11208274,0.14144023,"[10.964023, 11.314829]"
0,-0.12618871,-0.019284014,0.11208274,0.14144023,1,1.0,-0.1265744,0.17406914,0.11491155,-0.11388626,"[11.2606535, 11.288775]"
0,-0.1265744,0.17406914,0.11491155,-0.11388626,0,1.0,-0.12309301,-0.022495816,0.11263382,0.21272631,"[11.293012, 11.262601]"
0,-0.12309301,-0.022495816,0.11263382,0.21272631,0,1.0,-0.12354293,-0.21903284,0.116888344,0.5387082,"[11.193764, 11.375676]"
0,-0.12354293,-0.21903284,0.116888344,0.5387082,1,1.0,-0.12792358,-0.025731362,0.12766251,0.28502148,"[10.516194, 11.558411]"
0,-0.12792358,-0.025731362,0.12766251,0.28502148,1,1.0,-0.1284382,0.16736062,0.13336293,0.035171434,"[11.090846, 11.635495]"
